StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1,Q78_First Click,Q78_Last Click,Q78_Page Submit,Q78_Click Count,SAM_scale_1,SAM_scale_2,SAM_scale_3,G1_First Click,G1_Last Click,G1_Page Submit,G1_Click Count,Q74_First Click,Q74_Last Click,Q74_Page Submit,Q74_Click Count,Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Passcode_static,Q76_First Click,Q76_Last Click,Q76_Page Submit,Q76_Click Count,Passcode_improv,NASA TLX_Mental_1,NASA TLX_Physical_1,NASA TLX_Temporal_1,NASA TLX_Performance_1,NASA TLX_Effort_1,NASA TLX_Frustration_1,PostQues_1,PostQues_2,PostQues_3,PostQues_4,PostQues_5,PostQues_6,PostQues_7,attention_check_1,PostQues_8,PostQues_9,PostQues_10,PostQues_11,PostQues_12,PostQues_13,PostQues_14,PostQues_15,PostQues_16,attention_check_2,PostQues_17,PostQues_18,PostQues_19,PostQues_20,PostQues_21,PostQues_22,PostQues_23,PostQues_24,attention_check_3,PostQues_25,DemModQues_age,DemModQues_education,DemModQues_gender,DemModQues_gender_5_TEXT,DemModQues_AI,DemModQues_Chatbot,attitude/trust in ai_1,attitude/trust in ai_2,attitude/trust in ai_3,attitude/trust in ai_4,attitude/trust in ai_5,attitude/trust in ai_6,attitude/trust in ai_7,attitude/trust in ai_8,attitude/trust in ai_9,attitude/trust in ai_10,attitude/trust in ai_11,DemModQues_personal,DemModQues_interest,DemModQues_cog_1,DemModQues_cog_2,DemModQues_cog_3,DemModQues_cog_4,DemModQues_cog_5,DemModQues_cog_6,Exp_condition
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,"Welcome! 

This study seeks to evaluate what happens when people view video coverage of a crime.



We want to make you aware that this study involves viewing potentially distressing video content. You will be shown CCTV footage depicting a criminal act. 



If you think you may feel upset, triggered, or disturbed by scenes of this nature, you are under no obligation to participate. You are free to discontinue your participation at any time with no questions asked and no explanation needed. Even if you do choose to proceed with the study after viewing this notification, you still reserve the right to voluntarily withdraw at any point you wish.



The study should take around 30 min to complete. You are eligible to participate in this study if you are 18 or above, and you have normal or corrected-to-normal vision and hearing. Your responses will be kept confidential. 



Results from this survey may be used for future academic research publications. Please note that:



1. Your participation is voluntary.

2. Some questions are mandatory. However, if you do not want to answer them, you can exit the survey.

3. At any time, you may decline further participation without adverse consequences. To do this, simply close out of the survey without submitting your answers.

4. You will remain anonymous in any publications or presentations based on the results of this survey. If you feel you have been treated unfairly, or you have questions regarding your rights as a research subject, you may contact the Chairman of the Committee on the Use of Humans as Experimental Subjects, M.I.T., Room E25-143B, 77 Massachusetts Ave, Cambridge, MA 02139, phone 1-617-253 6787.



By clicking on ""I consent"" below, you acknowledge: Your participation in the study is voluntary. You are 18 years of age or above. You are aware that you may choose to terminate your participation at any time for any reason. Please select if you consent to begin the survey:",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"For each of the following rows of figures (Valence, Arousal, Dominance), please select a figure that best corresponds to how you are feeling now. - Valence","For each of the following rows of figures (Valence, Arousal, Dominance), please select a figure that best corresponds to how you are feeling now. - Arousal","For each of the following rows of figures (Valence, Arousal, Dominance), please select a figure that best corresponds to how you are feeling now. - Dominance",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Enter the passcode from the chatbot to proceed,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Enter the passcode from the chatbot interaction to proceed,Mental Demand - How mentally demanding was the task?,Physical Demand - How physically demanding was the task?,Temporal Demand - How hurried or rushed was the pace of the task?,Performance - How successful were you in accomplishing what you were asked to do?,Effort - How hard did you have to work to accomplish your level of performance?,"Frustration - How insecure, discouraged, irritated, stressed, and annoyed were you?",Was there more than one employee present during the incident?,Did the robbers exit the store as a group?,Did you see the robbers arrive by car?,Did the robbery occur without any outside/external interruptions?,Did the robbers do any visible damage to the store's items?,Did you see someone leap over the counter?,Did any customers attempt to exit the store during the robbery?,Select 'probably not' for this question,"From the video, did you see three robbers in total?",Did you see the cashier flee to the back of the store during the robbery?,Did you see the robber put cash into a backpack?,Did you see the cashier or any customers try to make a phone call during the robbery?,Did any of the robbers wear eyeglasses?,Did you see one of the robbers wearing a green hoodie?,Did you see the robber pulling out the knife to threaten the customer?,Did the crime happen during the night time?,Did you see any of the robbers discharge their weapon?,Select 'yes' for this question,Did you see the customer at the cash counter?,Was the cashier present when the robbers entered?,Did you see an emergency telephone in the store?,Did you see one of the robbers wearing a brown hoodie?,Did you see an emergency ATM machine in the store?,Did you see any of the robbers appear to be under 18 years old?,Was a security guard in the store at the time of the robbery?,Did the robbers take items other than cash from the store?,Select 'Definitely not' for this question,Did you see one of the robbers having a tattoo?,What is your age? (in years),What is the highest level of education you have completed?,What is your gender identity? - Selected Choice,What is your gender identity? - Prefer to self-describe - Text,What is your level of familiarity with using AI technology?,What is your level of familiarity with interacting with chatbots?,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - There are many beneficial applications of AI,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - AI can help people feel happier,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - I want to use/interact with AI in daily life,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - AI can provide new economic opportunities,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - Society will benefit from AI,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - I love everything about AI,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - Some complex decisions should be left to AI,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - I would trust my life savings to an AI system,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - I would recommend this agent for my friend,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - The agent is trustworthy,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - The agent is empathetic,Do you have any personal experience related to the scenario in the video?,What is your level of interest in crime investigations and the scenario in the video?,"For each statement listed below, select the number that indicates the extent to which you feel it is characteristic of
you. 

For example, if the statement is not at all like you, select number 1 under “Extremely Uncharacteristic,” or if you really can’t
decide if the statement is or is not characteristic of you, select number 3 under “Uncertain.” - I would prefer complex to simple problems.","For each statement listed below, select the number that indicates the extent to which you feel it is characteristic of
you. 

For example, if the statement is not at all like you, select number 1 under “Extremely Uncharacteristic,” or if you really can’t
decide if the statement is or is not characteristic of you, select number 3 under “Uncertain.” - I like to have the responsibility of handling a situation that requires a lot of thinking.","For each statement listed below, select the number that indicates the extent to which you feel it is characteristic of
you. 

For example, if the statement is not at all like you, select number 1 under “Extremely Uncharacteristic,” or if you really can’t
decide if the statement is or is not characteristic of you, select number 3 under “Uncertain.” - Thinking is not my idea of fun.","For each statement listed below, select the number that indicates the extent to which you feel it is characteristic of
you. 

For example, if the statement is not at all like you, select number 1 under “Extremely Uncharacteristic,” or if you really can’t
decide if the statement is or is not characteristic of you, select number 3 under “Uncertain.” - I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.","For each statement listed below, select the number that indicates the extent to which you feel it is characteristic of
you. 

For example, if the statement is not at all like you, select number 1 under “Extremely Uncharacteristic,” or if you really can’t
decide if the statement is or is not characteristic of you, select number 3 under “Uncertain.” - I really enjoy a task that involves coming up with new solutions to problems.","For each statement listed below, select the number that indicates the extent to which you feel it is characteristic of
you. 

For example, if the statement is not at all like you, select number 1 under “Extremely Uncharacteristic,” or if you really can’t
decide if the statement is or is not characteristic of you, select number 3 under “Uncertain.” - I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.",Exp_condition
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID78_FIRST_CLICK""}","{""ImportId"":""QID78_LAST_CLICK""}","{""ImportId"":""QID78_PAGE_SUBMIT""}","{""ImportId"":""QID78_CLICK_COUNT""}","{""ImportId"":""QID94_4""}","{""ImportId"":""QID94_7""}","{""ImportId"":""QID94_8""}","{""ImportId"":""QID3_FIRST_CLICK""}","{""ImportId"":""QID3_LAST_CLICK""}","{""ImportId"":""QID3_PAGE_SUBMIT""}","{""ImportId"":""QID3_CLICK_COUNT""}","{""ImportId"":""QID74_FIRST_CLICK""}","{""ImportId"":""QID74_LAST_CLICK""}","{""ImportId"":""QID74_PAGE_SUBMIT""}","{""ImportId"":""QID74_CLICK_COUNT""}","{""ImportId"":""QID75_FIRST_CLICK""}","{""ImportId"":""QID75_LAST_CLICK""}","{""ImportId"":""QID75_PAGE_SUBMIT""}","{""ImportId"":""QID75_CLICK_COUNT""}","{""ImportId"":""QID92_TEXT""}","{""ImportId"":""QID76_FIRST_CLICK""}","{""ImportId"":""QID76_LAST_CLICK""}","{""ImportId"":""QID76_PAGE_SUBMIT""}","{""ImportId"":""QID76_CLICK_COUNT""}","{""ImportId"":""QID91_TEXT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID85""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID86""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID87""}","{""ImportId"":""QID45""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_5_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID73_2""}","{""ImportId"":""QID73_3""}","{""ImportId"":""QID73_4""}","{""ImportId"":""QID73_5""}","{""ImportId"":""QID73_6""}","{""ImportId"":""Exp_condition""}"
2024-02-29 16:25:05,2024-02-29 16:25:10,Survey Preview,100,4,TRUE,2024-02-29 16:25:10,R_6redk2qxDSNl1PX,,,,,preview,EN,"I do not consent, I do not wish to participate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-04 07:58:42,2024-03-04 13:14:50,IP Address,82,18967,FALSE,2024-03-11 14:14:51,R_7Qus8pbzdiz2Ijw,,,,,anonymous,EN,I consent and agree to participate,0,0,152.012,0,,,,88.488,272.956,301.663,9,0,0,521.54,0,,,,,,,,,,,9,9,9,9,9,9,Probably yes,Probably yes,Uncertain if yes or no,Uncertain if yes or no,Uncertain if yes or no,Probably not,Yes,,Yes,Probably yes,Yes,Definitely yes,Probably yes,Yes,No,Probably not,Definitely not,,Definitely not,Uncertain if yes or no,Probably yes,No,No,No,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,survey-based
2024-03-13 12:42:55,2024-03-13 12:56:42,IP Address,100,827,TRUE,2024-03-13 12:56:43,R_3PYNLQvzsJ2eCKx,,,,,anonymous,EN,I consent and agree to participate,0,0,156.701,0,,,,0,0,300.014,0,,,,,,,,,,,,,,,11,0,6,11,12,6,Yes,Yes,No,Probably not,Definitely yes,No,No,,Yes,No,No,No,Probably not,Yes,No,Probably not,Probably not,,Probably yes,Yes,No,No,No,Yes,No,Probably not,,No,22,Bachelor’s degree,Female,,7-Very Familiar,7-Very Familiar,7 (strongly agree),2,7 (strongly agree),7 (strongly agree),6,5,4,2,2,3,2,No,5,Somewhat Characteristic,Somewhat Characteristic,Extremely Uncharacteristic,Somewhat Uncharacteristic,Extremely Characteristic,Somewhat Characteristic,none
2024-03-14 08:47:52,2024-03-14 09:15:06,IP Address,100,1634,TRUE,2024-03-14 09:15:07,R_30hrKPLDOo9JN6x,,,,,anonymous,EN,I consent and agree to participate,0,0,157.075,0,,,,262.613,262.613,300.011,1,,,,,0,0,579.311,0,,,,,,,9,0,13,8,7,11,Uncertain if yes or no,Yes,Probably yes,Yes,No,Definitely yes,Probably not,,Yes,Probably not,Probably yes,No,Probably not,Uncertain if yes or no,Uncertain if yes or no,Probably yes,No,,Probably yes,Definitely yes,No,Uncertain if yes or no,Definitely not,Probably yes,No,Uncertain if yes or no,,Definitely not,24,Bachelor’s degree,Female,,7-Very Familiar,7-Very Familiar,7 (strongly agree),6,7 (strongly agree),7 (strongly agree),5,3,5,2,4,2,2,No,5,Somewhat Uncharacteristic,Somewhat Characteristic,Extremely Uncharacteristic,Somewhat Uncharacteristic,Extremely Characteristic,Extremely Characteristic,static-chatbot
2024-03-14 11:19:10,2024-03-14 11:34:29,IP Address,100,918,TRUE,2024-03-14 11:34:30,R_5RWJOf3VmaBk1kx,,,,,anonymous,EN,I consent and agree to participate,0,0,140.487,0,,,,0,0,300.115,0,,,,,,,,,,,,,,,4,0,4,16,2,6,Definitely yes,Definitely yes,No,Yes,Probably yes,Definitely yes,Probably not,,No,No,Uncertain if yes or no,Definitely yes,Probably yes,Yes,Definitely not,Definitely yes,Definitely yes,,Yes,Definitely yes,No,Probably not,Probably not,Uncertain if yes or no,Definitely not,Probably not,,Uncertain if yes or no,24,Bachelor’s degree,Female,,6,6,7 (strongly agree),1 (strongly disagree),4,2,4,1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),7 (strongly agree),4,1 (strongly disagree),No,3,Somewhat Characteristic,Somewhat Characteristic,Somewhat Uncharacteristic,Extremely Uncharacteristic,Somewhat Characteristic,Extremely Characteristic,none
2024-03-04 07:41:07,2024-03-11 17:42:26,IP Address,10,637279,FALSE,2024-03-18 17:42:29,R_6tMrSeLPYgg8i6T,,,,,anonymous,EN,I consent and agree to participate,0,0,158.615,0,,,,,,,,,,,,,,,,,0,0,409.725,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chatbot
2024-03-16 01:54:09,2024-03-16 01:54:26,IP Address,2,17,FALSE,2024-03-23 01:54:27,R_41g7Ddd8kDVNUX2,,,,,anonymous,EN,I consent and agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03-18 12:57:39,2024-03-18 13:00:31,IP Address,17,171,FALSE,2024-03-25 13:00:32,R_4gSDC6lLLPzMJjY,,,,,anonymous,EN,I consent and agree to participate,0,0,151.794,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
